Number of total injuries,Number of total fatalities,Average injury rate,Average fatality rate
0.0597,0.1172,0.2937,0.5293
0.076,0.4352,0.0725,0.4162
0.0759,0.3764,0.0816,0.4661
0.0798,0.4369,0.0883,0.395
0.0759,0.3764,0.0816,0.4661
0.0759,0.3764,0.0816,0.4661
0.0759,0.3764,0.0816,0.4661
0.076,0.4352,0.0725,0.4162
0.0798,0.4369,0.0883,0.395
0.0798,0.4369,0.0883,0.395
0.0798,0.4369,0.0883,0.395
0.0759,0.3764,0.0816,0.4661
0.0589,0.3149,0.0995,0.5267
0.0759,0.3764,0.0816,0.4661
0.0759,0.3764,0.0816,0.4661
0.0589,0.3149,0.0995,0.5267
0.7243,0.184,0.0458,0.0458
0.083,0.4534,0.1123,0.3513
0.0798,0.4369,0.0883,0.395
0.0729,0.4729,0.2844,0.1699
0.083,0.4534,0.1123,0.3513
0.0751,0.3329,0.0751,0.5168
0.0589,0.3149,0.0995,0.5267
0.0601,0.3275,0.0888,0.5235
0.0759,0.3764,0.0816,0.4661
0.0573,0.2823,0.081,0.5793
0.076,0.4352,0.0725,0.4162
0.0759,0.3764,0.0816,0.4661
